A0;< 20
1D3;55 30C
1D4;75 30C
1D5;DC 304
1D6;FC 304
1D7;DC 301
1D8;FC 301
1D9;DC 30C
1DA;FC 30C
1DB;DC 300
1DC;FC 300
1DE;C4 304
1DF;E4 304
1E0;226 304
1E1;227 304
1E2;C6 304
1E3;E6 304
1E6;47 30C
1E7;67 30C
1E8;4B 30C
1E9;6B 30C
1EA;4F 328
1EB;6F 328
1EC;1EA 304
1ED;1EB 304
1EE;1B7 30C
1EF;292 30C
1F0;6A 30C
1F1;< 44 5A
1F2;< 44 7A
1F3;< 64 7A
1F4;47 301
1F5;67 301
1F8;4E 300
1F9;6E 300
1FA;C5 301
1FB;E5 301
1FC;C6 301
1FD;E6 301
1FE;D8 301
1FF;F8 301
200;41 30F
201;61 30F
202;41 311
203;61 311
204;45 30F
205;65 30F
206;45 311
207;65 311
208;49 30F
209;69 30F
20A;49 311
20B;69 311
20C;4F 30F
20D;6F 30F
20E;4F 311
20F;6F 311
210;52 30F
211;72 30F
212;52 311
213;72 311
214;55 30F
215;75 30F
216;55 311
217;75 311
218;53 326
219;73 326
21A;54 326
21B;74 326
21E;48 30C
21F;68 30C
226;41 307
227;61 307
228;45 327
229;65 327
22A;D6 304
22B;F6 304
22C;D5 304
22D;F5 304
22E;4F 307
22F;6F 307
230;22E 304
231;22F 304
232;59 304
233;79 304
2B0;< 68
2B1;< 266
2B2;< 6A
2B3;< 72
2B4;< 279
2B5;< 27B
2B6;< 281
2B7;< 77
2B8;< 79
2D8;< 20 306
2D9;< 20 307
2DA;< 20 30A
2DB;< 20 328
2DC;< 20 303
2DD;< 20 30B
2E0;< 263
2E1;< 6C
2E2;< 73
2E3;< 78
2E4;< 295
340;300
341;301
343;313
344;308 301
374;2B9
37A;< 20 345
37E;3B
384;< 20 301
385;A8 301
386;391 301
387;B7
388;395 301
389;397 301
38A;399 301
38C;39F 301
38E;3A5 301
38F;3A9 301
390;3CA 301
3AA;399 308
3AB;3A5 308
3AC;3B1 301
3AD;3B5 301
3AE;3B7 301
3AF;3B9 301
3B0;3CB 301
3CA;3B9 308
3CB;3C5 308
3CC;3BF 301
3CD;3C5 301
3CE;3C9 301
3D0;< 3B2
3D1;< 3B8
3D2;< 3A5
3D3;3D2 301
3D4;3D2 308
3D5;< 3C6
3D6;< 3C0
3F0;< 3BA
3F1;< 3C1
3F2;< 3C2
3F4;< 398
3F5;< 3B5
3F9;< 3A3
400;415 300
401;415 308
403;413 301
407;406 308
40C;41A 301
40D;418 300
40E;423 306
419;418 306
439;438 306
450;435 300
451;435 308
453;433 301
457;456 308
45C;43A 301
45D;438 300
45E;443 306
476;474 30F
477;475 30F
4C1;416 306
4C2;436 306
4D0;410 306
4D1;430 306
4D2;410 308
4D3;430 308
4D6;415 306
4D7;435 306
4DA;4D8 308
4DB;4D9 308
4DC;416 308
4DD;436 308
4DE;417 308
4DF;437 308
4E2;418 304
4E3;438 304
4E4;418 308
4E5;438 308
4E6;41E 308
4E7;43E 308
4EA;4E8 308
4EB;4E9 308
4EC;42D 308
4ED;44D 308
4EE;423 304
4EF;443 304
4F0;423 308
4F1;443 308
4F2;423 30B
4F3;443 30B
4F4;427 308
4F5;447 308
4F8;42B 308
4F9;44B 308
587;< 565 582
622;627 653
623;627 654
624;648 654
625;627 655
626;64A 654
675;< 627 674
676;< 648 674
677;< 6C7 674
678;< 64A 674
6C0;6D5 654
6C2;6C1 654
6D3;6D2 654
929;928 93C
931;930 93C
934;933 93C
958;915 93C
959;916 93C
95A;917 93C
95B;91C 93C
95C;921 93C
95D;922 93C
95E;92B 93C
95F;92F 93C
9CB;9C7 9BE
9CC;9C7 9D7
9DC;9A1 9BC
9DD;9A2 9BC
9DF;9AF 9BC
A33;A32 A3C
A36;A38 A3C
A59;A16 A3C
A5A;A17 A3C
A5B;A1C A3C
A5E;A2B A3C
B48;B47 B56
B4B;B47 B3E
B4C;B47 B57
B5C;B21 B3C
B5D;B22 B3C
B94;B92 BD7
BCA;BC6 BBE
BCB;BC7 BBE
BCC;BC6 BD7
C48;C46 C56
CC0;CBF CD5
CC7;CC6 CD5
CC8;CC6 CD6
CCA;CC6 CC2
CCB;CCA CD5
D4A;D46 D3E
D4B;D47 D3E
D4C;D46 D57
DDA;DD9 DCA
DDC;DD9 DCF
DDD;DDC DCA
DDE;DD9 DDF
E33;< E4D E32
EB3;< ECD EB2
EDC;< EAB E99
EDD;< EAB EA1
F0C;< F0B
F43;F42 FB7
F4D;F4C FB7
F52;F51 FB7
F57;F56 FB7
F5C;F5B FB7
F69;F40 FB5
F73;F71 F72
F75;F71 F74
F76;FB2 F80
F77;< FB2 F81
F78;FB3 F80
F79;< FB3 F81
F81;F71 F80
F93;F92 FB7
F9D;F9C FB7
FA2;FA1 FB7
FA7;FA6 FB7
FAC;FAB FB7
FB9;F90 FB5
1026;1025 102E
10FC;< 10DC
1B06;1B05 1B35
1B08;1B07 1B35
1B0A;1B09 1B35
1B0C;1B0B 1B35
1B0E;1B0D 1B35
1B12;1B11 1B35
1B3B;1B3A 1B35
1B3D;1B3C 1B35
1B40;1B3E 1B35
1B41;1B3F 1B35
1B43;1B42 1B35
1D2C;< 41
1D2D;< C6
1D2E;< 42
1D30;< 44
1D31;< 45
1D32;< 18E
1D33;< 47
1D34;< 48
1D35;< 49
1D36;< 4A
1D37;< 4B
1D38;< 4C
1D39;< 4D
1D3A;< 4E
1D3C;< 4F
1D3D;< 222
1D3E;< 50
1D3F;< 52
1D40;< 54
1D41;< 55
1D42;< 57
1D43;< 61
1D44;< 250
1D45;< 251
1D46;< 1D02
1D47;< 62
1D48;< 64
1D49;< 65
1D4A;< 259
1D4B;< 25B
1D4C;< 25C
1D4D;< 67
1D4F;< 6B
1D50;< 6D
1D51;< 14B
1D52;< 6F
1D53;< 254
1D54;< 1D16
1D55;< 1D17
1D56;< 70
1D57;< 74
1D58;< 75
1D59;< 1D1D
1D5A;< 26F
1D5B;< 76
1D5C;< 1D25
1D5D;< 3B2
1D5E;< 3B3
1D5F;< 3B4
1D60;< 3C6
1D61;< 3C7
1D62;< 69
1D63;< 72
1D64;< 75
1D65;< 76
1D66;< 3B2
1D67;< 3B3
1D68;< 3C1
1D69;< 3C6
1D6A;< 3C7
1D78;< 43D
1D9B;< 252
1D9C;< 63
1D9D;< 255
1D9E;< F0
1D9F;< 25C
1DA0;< 66
1DA1;< 25F
1DA2;< 261
1DA3;< 265
1DA4;< 268
1DA5;< 269
1DA6;< 26A
1DA7;< 1D7B
1DA8;< 29D
1DA9;< 26D
1DAA;< 1D85
1DAB;< 29F
1DAC;< 271
1DAD;< 270
1DAE;< 272
1DAF;< 273
1DB0;< 274
1DB1;< 275
1DB2;< 278
1DB3;< 282
1DB4;< 283
1DB5;< 1AB
1DB6;< 289
1DB7;< 28A
1DB8;< 1D1C
1DB9;< 28B
1DBA;< 28C
1DBB;< 7A
1DBC;< 290
1DBD;< 291
1DBE;< 292
1DBF;< 3B8
1E00;41 325
1E01;61 325
1E02;42 307
1E03;62 307
1E04;42 323
1E05;62 323
1E06;42 331
1E07;62 331
1E08;C7 301
1E09;E7 301
1E0A;44 307
1E0B;64 307
1E0C;44 323
1E0D;64 323
1E0E;44 331
1E0F;64 331
1E10;44 327
1E11;64 327
1E12;44 32D
1E13;64 32D
1E14;112 300
1E15;113 300
1E16;112 301
1E17;113 301
1E18;45 32D
1E19;65 32D
1E1A;45 330
1E1B;65 330
1E1C;228 306
1E1D;229 306
1E1E;46 307
1E1F;66 307
1E20;47 304
1E21;67 304
1E22;48 307
1E23;68 307
1E24;48 323
1E25;68 323
1E26;48 308
1E27;68 308
1E28;48 327
1E29;68 327
1E2A;48 32E
1E2B;68 32E
1E2C;49 330
1E2D;69 330
1E2E;CF 301
1E2F;EF 301
1E30;4B 301
1E31;6B 301
1E32;4B 323
1E33;6B 323
1E34;4B 331
1E35;6B 331
1E36;4C 323
1E37;6C 323
1E38;1E36 304
1E39;1E37 304
1E3A;4C 331
1E3B;6C 331
1E3C;4C 32D
1E3D;6C 32D
1E3E;4D 301
1E3F;6D 301
1E40;4D 307
1E41;6D 307
1E42;4D 323
1E43;6D 323
1E44;4E 307
1E45;6E 307
1E46;4E 323
1E47;6E 323
1E48;4E 331
1E49;6E 331
1E4A;4E 32D
1E4B;6E 32D
1E4C;D5 301
1E4D;F5 301
1E4E;D5 308
1E4F;F5 308
1E50;14C 300
1E51;14D 300
1E52;14C 301
1E53;14D 301
1E54;50 301
1E55;70 301
1E56;50 307
1E57;70 307
1E58;52 307
1E59;72 307
1E5A;52 323
1E5B;72 323
1E5C;1E5A 304
1E5D;1E5B 304
1E5E;52 331
1E5F;72 331
1E60;53 307
1E61;73 307
1E62;53 323
1E63;73 323
1E64;15A 307
1E65;15B 307
1E66;160 307
1E67;161 307
1E68;1E62 307
1E69;1E63 307
1E6A;54 307
1E6B;74 307
1E6C;54 323
1E6D;74 323
1E6E;54 331
1E6F;74 331
1E70;54 32D
1E71;74 32D
1E72;55 324
1E73;75 324
1E74;55 330
1E75;75 330
1E76;55 32D
1E77;75 32D
1E78;168 301
1E79;169 301
1E7A;16A 308
1E7B;16B 308
1E7C;56 303
1E7D;76 303
1E7E;56 323
1E7F;76 323
1E80;57 300
1E81;77 300
1E82;57 301
1E83;77 301
1E84;57 308
1E85;77 308
1E86;57 307
1E87;77 307
1E88;57 323
1E89;77 323
1E8A;58 307
1E8B;78 307
1E8C;58 308
1E8D;78 308
1E8E;59 307
1E8F;79 307
1E90;5A 302
1E91;7A 302
1E92;5A 323
1E93;7A 323
1E94;5A 331
1E95;7A 331
1E96;68 331
1E97;74 308
1E98;77 30A
1E99;79 30A
1E9A;< 61 2BE
1E9B;17F 307
1EA0;41 323
1EA1;61 323
1EA2;41 309
1EA3;61 309
1EA4;C2 301
1EA5;E2 301
1EA6;C2 300
1EA7;E2 300
1EA8;C2 309
1EA9;E2 309
1EAA;C2 303
1EAB;E2 303
1EAC;1EA0 302
1EAD;1EA1 302
1EAE;102 301
1EAF;103 301
1EB0;102 300
1EB1;103 300
1EB2;102 309
1EB3;103 309
1EB4;102 303
1EB5;103 303
1EB6;1EA0 306
1EB7;1EA1 306
1EB8;45 323
1EB9;65 323
1EBA;45 309
1EBB;65 309
1EBC;45 303
1EBD;65 303
1EBE;CA 301
1EBF;EA 301
1EC0;CA 300
1EC1;EA 300
1EC2;CA 309
1EC3;EA 309
1EC4;CA 303
1EC5;EA 303
1EC6;1EB8 302
1EC7;1EB9 302
1EC8;49 309
1EC9;69 309
1ECA;49 323
1ECB;69 323
1ECC;4F 323
1ECD;6F 323
1ECE;4F 309
1ECF;6F 309
1ED0;D4 301
1ED1;F4 301
1ED2;D4 300
1ED3;F4 300
1ED4;D4 309
1ED5;F4 309
1ED6;D4 303
1ED7;F4 303
1ED8;1ECC 302
1ED9;1ECD 302
1EDA;1A0 301
1EDB;1A1 301
1EDC;1A0 300
1EDD;1A1 300
1EDE;1A0 309
1EDF;1A1 309
1EE0;1A0 303
1EE1;1A1 303
1EE2;1A0 323
1EE3;1A1 323
1EE4;55 323
1EE5;75 323
1EE6;55 309
1EE7;75 309
1EE8;1AF 301
1EE9;1B0 301
1EEA;1AF 300
1EEB;1B0 300
1EEC;1AF 309
1EED;1B0 309
1EEE;1AF 303
1EEF;1B0 303
1EF0;1AF 323
1EF1;1B0 323
1EF2;59 300
1EF3;79 300
1EF4;59 323
1EF5;79 323
1EF6;59 309
1EF7;79 309
1EF8;59 303
1EF9;79 303
1F00;3B1 313
1F01;3B1 314
1F02;1F00 300
1F03;1F01 300
1F04;1F00 301
1F05;1F01 301
1F06;1F00 342
1F07;1F01 342
1F08;391 313
1F09;391 314
1F0A;1F08 300
1F0B;1F09 300
1F0C;1F08 301
1F0D;1F09 301
1F0E;1F08 342
1F0F;1F09 342
1F10;3B5 313
1F11;3B5 314
1F12;1F10 300
1F13;1F11 300
1F14;1F10 301
1F15;1F11 301
1F18;395 313
1F19;395 314
1F1A;1F18 300
1F1B;1F19 300
1F1C;1F18 301
1F1D;1F19 301
1F20;3B7 313
1F21;3B7 314
1F22;1F20 300
1F23;1F21 300
1F24;1F20 301
1F25;1F21 301
1F26;1F20 342
1F27;1F21 342
1F28;397 313
1F29;397 314
1F2A;1F28 300
1F2B;1F29 300
1F2C;1F28 301
1F2D;1F29 301
1F2E;1F28 342
1F2F;1F29 342
1F30;3B9 313
1F31;3B9 314
1F32;1F30 300
1F33;1F31 300
1F34;1F30 301
1F35;1F31 301
1F36;1F30 342
1F37;1F31 342
1F38;399 313
1F39;399 314
1F3A;1F38 300
1F3B;1F39 300
1F3C;1F38 301
1F3D;1F39 301
1F3E;1F38 342
1F3F;1F39 342
1F40;3BF 313
1F41;3BF 314
1F42;1F40 300
1F43;1F41 300
1F44;1F40 301
1F45;1F41 301
1F48;39F 313
1F49;39F 314
1F4A;1F48 300
1F4B;1F49 300
1F4C;1F48 301
1F4D;1F49 301
1F50;3C5 313
1F51;3C5 314
1F52;1F50 300
1F53;1F51 300
1F54;1F50 301
1F55;1F51 301
1F56;1F50 342
1F57;1F51 342
1F59;3A5 314
1F5B;1F59 300
1F5D;1F59 301
1F5F;1F59 342
1F60;3C9 313
1F61;3C9 314
1F62;1F60 300
1F63;1F61 300
1F64;1F60 301
1F65;1F61 301
1F66;1F60 342
1F67;1F61 342
1F68;3A9 313
1F69;3A9 314
1F6A;1F68 300
1F6B;1F69 300
1F6C;1F68 301
1F6D;1F69 301
1F6E;1F68 342
1F6F;1F69 342
1F70;3B1 300
1F71;3AC
1F72;3B5 300
1F73;3AD
1F74;3B7 300
1F75;3AE
1F76;3B9 300
1F77;3AF
1F78;3BF 300
1F79;3CC
1F7A;3C5 300
1F7B;3CD
1F7C;3C9 300
1F7D;3CE
1F80;1F00 345
1F81;1F01 345
1F82;1F02 345
1F83;1F03 345
1F84;1F04 345
1F85;1F05 345
1F86;1F06 345
1F87;1F07 345
1F88;1F08 345
1F89;1F09 345
1F8A;1F0A 345
1F8B;1F0B 345
1F8C;1F0C 345
1F8D;1F0D 345
1F8E;1F0E 345
1F8F;1F0F 345
1F90;1F20 345
1F91;1F21 345
1F92;1F22 345
1F93;1F23 345
1F94;1F24 345
1F95;1F25 345
1F96;1F26 345
1F97;1F27 345
1F98;1F28 345
1F99;1F29 345
1F9A;1F2A 345
1F9B;1F2B 345
1F9C;1F2C 345
1F9D;1F2D 345
1F9E;1F2E 345
1F9F;1F2F 345
1FA0;1F60 345
1FA1;1F61 345
1FA2;1F62 345
1FA3;1F63 345
1FA4;1F64 345
1FA5;1F65 345
1FA6;1F66 345
1FA7;1F67 345
1FA8;1F68 345
1FA9;1F69 345
1FAA;1F6A 345
1FAB;1F6B 345
1FAC;1F6C 345
1FAD;1F6D 345
1FAE;1F6E 345
1FAF;1F6F 345
1FB0;3B1 306
1FB1;3B1 304
1FB2;1F70 345
1FB3;3B1 345
1FB4;3AC 345
1FB6;3B1 342
1FB7;1FB6 345
1FB8;391 306
1FB9;391 304
1FBA;391 300
1FBB;386
1FBC;391 345
1FBD;< 20 313
1FBE;3B9
1FBF;< 20 313
1FC0;< 20 342
1FC1;A8 342
1FC2;1F74 345
1FC3;3B7 345
1FC4;3AE 345
1FC6;3B7 342
1FC7;1FC6 345
1FC8;395 300
1FC9;388
1FCA;397 300
1FCB;389
1FCC;397 345
1FCD;1FBF 300
1FCE;1FBF 301
1FCF;1FBF 342
1FD0;3B9 306
1FD1;3B9 304
1FD2;3CA 300
1FD3;390
1FD6;3B9 342
1FD7;3CA 342
1FD8;399 306
1FD9;399 304
1FDA;399 300
1FDB;38A
1FDD;1FFE 300
1FDE;1FFE 301
1FDF;1FFE 342
1FE0;3C5 306
1FE1;3C5 304
1FE2;3CB 300
1FE3;3B0
1FE4;3C1 313
1FE5;3C1 314
1FE6;3C5 342
1FE7;3CB 342
1FE8;3A5 306
1FE9;3A5 304
1FEA;3A5 300
1FEB;38E
1FEC;3A1 314
1FED;A8 300
1FEE;385
1FEF;60
1FF2;1F7C 345
1FF3;3C9 345
1FF4;3CE 345
1FF6;3C9 342
1FF7;1FF6 345
1FF8;39F 300
1FF9;38C
1FFA;3A9 300
1FFB;38F
1FFC;3A9 345
1FFD;B4
1FFE;< 20 314
2000;2002
2001;2003
2002;< 20
2003;< 20
2004;< 20
2005;< 20
2006;< 20
2007;< 20
2008;< 20
2009;< 20
200A;< 20
2011;< 2010
2017;< 20 333
2024;< 2E
2025;< 2E 2E
2026;< 2E 2E 2E
202F;< 20
2033;< 2032 2032
2034;< 2032 2032 2032
2036;< 2035 2035
2037;< 2035 2035 2035
203C;< 21 21
203E;< 20 305
2047;< 3F 3F
2048;< 3F 21
2049;< 21 3F
2057;< 2032 2032 2032 2032
205F;< 20
2070;< 30
2071;< 69
2074;< 34
2075;< 35
2076;< 36
2077;< 37
2078;< 38
2079;< 39
207A;< 2B
207B;< 2212
207C;< 3D
207D;< 28
207E;< 29
207F;< 6E
2080;< 30
2081;< 31
2082;< 32
2083;< 33
2084;< 34
2085;< 35
2086;< 36
2087;< 37
2088;< 38
2089;< 39
208A;< 2B
208B;< 2212
208C;< 3D
208D;< 28
208E;< 29
2090;< 61
2091;< 65
2092;< 6F
2093;< 78
2094;< 259
2095;< 68
2096;< 6B
2097;< 6C
2098;< 6D
2099;< 6E
209A;< 70
209B;< 73
209C;< 74
20A8;< 52 73
2100;< 61 2F 63
2101;< 61 2F 73
2102;< 43
2103;< B0 43
2105;< 63 2F 6F
2106;< 63 2F 75
2107;< 190
2109;< B0 46
210A;< 67
210B;< 48
210C;< 48
210D;< 48
210E;< 68
210F;< 127
2110;< 49
2111;< 49
2112;< 4C
2113;< 6C
2115;< 4E
2116;< 4E 6F
2119;< 50
211A;< 51
211B;< 52
211C;< 52
211D;< 52
2120;< 53 4D
2121;< 54 45 4C
2122;< 54 4D
2124;< 5A
2126;3A9
2128;< 5A
212A;4B
212B;C5
212C;< 42
212D;< 43
212F;< 65
2130;< 45
2131;< 46
2133;< 4D
2134;< 6F
2135;< 5D0
2136;< 5D1
2137;< 5D2
2138;< 5D3
2139;< 69
213B;< 46 41 58
213C;< 3C0
213D;< 3B3
213E;< 393
213F;< 3A0
2140;< 2211
2145;< 44
2146;< 64
2147;< 65
2148;< 69
2149;< 6A
2150;< 31 2044 37
2151;< 31 2044 39
2152;< 31 2044 31 30
2153;< 31 2044 33
2154;< 32 2044 33
2155;< 31 2044 35
2156;< 32 2044 35
2157;< 33 2044 35
2158;< 34 2044 35
2159;< 31 2044 36
215A;< 35 2044 36
215B;< 31 2044 38
215C;< 33 2044 38
215D;< 35 2044 38
215E;< 37 2044 38
215F;< 31 2044
2160;< 49
2161;< 49 49
2162;< 49 49 49
2163;< 49 56
2164;< 56
2165;< 56 49
2166;< 56 49 49
2167;< 56 49 49 49
2168;< 49 58
2169;< 58
216A;< 58 49
216B;< 58 49 49
216C;< 4C
216D;< 43
216E;< 44
216F;< 4D
2170;< 69
2171;< 69 69
2172;< 69 69 69
2173;< 69 76
2174;< 76
2175;< 76 69
2176;< 76 69 69
2177;< 76 69 69 69
2178;< 69 78
2179;< 78
217A;< 78 69
217B;< 78 69 69
217C;< 6C
217D;< 63
217E;< 64
217F;< 6D
2189;< 30 2044 33
219A;2190 338
219B;2192 338
21AE;2194 338
21CD;21D0 338
21CE;21D4 338
21CF;21D2 338
2204;2203 338
2209;2208 338
220C;220B 338
2224;2223 338
2226;2225 338
222C;< 222B 222B
222D;< 222B 222B 222B
222F;< 222E 222E
2230;< 222E 222E 222E
2241;223C 338
2244;2243 338
2247;2245 338
2249;2248 338
2260;3D 338
2262;2261 338
226D;224D 338
226E;3C 338
226F;3E 338
2270;2264 338
2271;2265 338
2274;2272 338
2275;2273 338
2278;2276 338
2279;2277 338
2280;227A 338
2281;227B 338
2284;2282 338
2285;2283 338
2288;2286 338
2289;2287 338
22AC;22A2 338
22AD;22A8 338
22AE;22A9 338
22AF;22AB 338
22E0;227C 338
22E1;227D 338
22E2;2291 338
22E3;2292 338
22EA;22B2 338
22EB;22B3 338
22EC;22B4 338
22ED;22B5 338
2329;3008
232A;3009
2460;< 31
2461;< 32
2462;< 33
2463;< 34
2464;< 35
2465;< 36
2466;< 37
2467;< 38
2468;< 39
2469;< 31 30
246A;< 31 31
246B;< 31 32
246C;< 31 33
246D;< 31 34
246E;< 31 35
246F;< 31 36
2470;< 31 37
2471;< 31 38
2472;< 31 39
2473;< 32 30
2474;< 28 31 29
2475;< 28 32 29
2476;< 28 33 29
2477;< 28 34 29
2478;< 28 35 29
2479;< 28 36 29
247A;< 28 37 29
247B;< 28 38 29
247C;< 28 39 29
247D;< 28 31 30 29
247E;< 28 31 31 29
247F;< 28 31 32 29
2480;< 28 31 33 29
2481;< 28 31 34 29
2482;< 28 31 35 29
2483;< 28 31 36 29
2484;< 28 31 37 29
2485;< 28 31 38 29
2486;< 28 31 39 29
2487;< 28 32 30 29
2488;< 31 2E
2489;< 32 2E
248A;< 33 2E
248B;< 34 2E
248C;< 35 2E
248D;< 36 2E
248E;< 37 2E
248F;< 38 2E
2490;< 39 2E
2491;< 31 30 2E
2492;< 31 31 2E
2493;< 31 32 2E
2494;< 31 33 2E
2495;< 31 34 2E
2496;< 31 35 2E
2497;< 31 36 2E
2498;< 31 37 2E
2499;< 31 38 2E
249A;< 31 39 2E
249B;< 32 30 2E
249C;< 28 61 29
249D;< 28 62 29
249E;< 28 63 29
249F;< 28 64 29
24A0;< 28 65 29
24A1;< 28 66 29
24A2;< 28 67 29
24A3;< 28 68 29
24A4;< 28 69 29
24A5;< 28 6A 29
24A6;< 28 6B 29
24A7;< 28 6C 29
24A8;< 28 6D 29
24A9;< 28 6E 29
24AA;< 28 6F 29
24AB;< 28 70 29
24AC;< 28 71 29
24AD;< 28 72 29
24AE;< 28 73 29
24AF;< 28 74 29
24B0;< 28 75 29
24B1;< 28 76 29
24B2;< 28 77 29
24B3;< 28 78 29
24B4;< 28 79 29
24B5;< 28 7A 29
24B6;< 41
24B7;< 42
24B8;< 43
24B9;< 44
24BA;< 45
24BB;< 46
24BC;< 47
24BD;< 48
24BE;< 49
24BF;< 4A
24C0;< 4B
24C1;< 4C
24C2;< 4D
24C3;< 4E
24C4;< 4F
24C5;< 50
24C6;< 51
24C7;< 52
24C8;< 53
24C9;< 54
24CA;< 55
24CB;< 56
24CC;< 57
24CD;< 58
24CE;< 59
24CF;< 5A
24D0;< 61
24D1;< 62
24D2;< 63
24D3;< 64
24D4;< 65
24D5;< 66
24D6;< 67
24D7;< 68
24D8;< 69
24D9;< 6A
24DA;< 6B
24DB;< 6C
24DC;< 6D
24DD;< 6E
24DE;< 6F
24DF;< 70
24E0;< 71
24E1;< 72
24E2;< 73
24E3;< 74
24E4;< 75
24E5;< 76
24E6;< 77
24E7;< 78
24E8;< 79
24E9;< 7A
24EA;< 30
2A0C;< 222B 222B 222B 222B
2A74;< 3A 3A 3D
2A75;< 3D 3D
2A76;< 3D 3D 3D
2ADC;2ADD 338
2C7C;< 6A
2C7D;< 56
2D6F;< 2D61
2E9F;< 6BCD
2EF3;< 9F9F
2F00;< 4E00
2F01;< 4E28
2F02;< 4E36
2F03;< 4E3F
2F04;< 4E59
2F05;< 4E85
2F06;< 4E8C
2F07;< 4EA0
2F08;< 4EBA
2F09;< 513F
2F0A;< 5165
2F0B;< 516B
2F0C;< 5182
2F0D;< 5196
2F0E;< 51AB
2F0F;< 51E0
2F10;< 51F5
2F11;< 5200
2F12;< 529B
2F13;< 52F9
2F14;< 5315
2F15;< 531A
2F16;< 5338
2F17;< 5341
2F18;< 535C
2F19;< 5369
2F1A;< 5382
2F1B;< 53B6
2F1C;< 53C8
2F1D;< 53E3
2F1E;< 56D7
2F1F;< 571F
2F20;< 58EB
2F21;< 5902
2F22;< 590A
2F23;< 5915
2F24;< 5927
2F25;< 5973
2F26;< 5B50
2F27;< 5B80
2F28;< 5BF8
2F29;< 5C0F
2F2A;< 5C22
2F2B;< 5C38
2F2C;< 5C6E
2F2D;< 5C71
2F2E;< 5DDB
2F2F;< 5DE5
2F30;< 5DF1
2F31;< 5DFE
2F32;< 5E72
2F33;< 5E7A
2F34;< 5E7F
2F35;< 5EF4
2F36;< 5EFE
2F37;< 5F0B
2F38;< 5F13
2F39;< 5F50
2F3A;< 5F61
2F3B;< 5F73
2F3C;< 5FC3
2F3D;< 6208
2F3E;< 6236
2F3F;< 624B
2F40;< 652F
2F41;< 6534
2F42;< 6587
2F43;< 6597
2F44;< 65A4
2F45;< 65B9
2F46;< 65E0
2F47;< 65E5
2F48;< 66F0
2F49;< 6708
2F4A;< 6728
2F4B;< 6B20
2F4C;< 6B62
2F4D;< 6B79
2F4E;< 6BB3
2F4F;< 6BCB
2F50;< 6BD4
